schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,legacy_invoices,Users can view legacy invoices in their organizations,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,login_attempts,anon_insert_rate_limited,PERMISSIVE,"anon,authenticated",INSERT,,((identifier IS NOT NULL) AND (length(identifier) <= 320) AND login_attempts_rate_ok(identifier))
public,organization_bank_accounts,Admins and managers can insert organization bank accounts,PERMISSIVE,public,INSERT,,"((organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))"
public,organization_bank_accounts,Admins and managers can manage bank accounts,PERMISSIVE,authenticated,ALL,"(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))","(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))"
public,organization_bank_accounts,Admins and managers can update organization bank accounts,PERMISSIVE,public,UPDATE,"((organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))","((organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))"
public,organization_bank_accounts,Org members can view bank accounts,PERMISSIVE,authenticated,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,organization_bank_accounts,Org members can view organization bank accounts,PERMISSIVE,public,SELECT,((deleted_at IS NULL) AND (organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))),
public,organization_label_templates_backup,Admins can manage label backups,PERMISSIVE,public,ALL,"has_org_role(auth.uid(), organization_id, 'admin'::app_role)","has_org_role(auth.uid(), organization_id, 'admin'::app_role)"
public,organization_label_templates_backup,Organization members can view their label backups,PERMISSIVE,public,SELECT,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,organization_members,Admins can delete members in their organization,PERMISSIVE,public,DELETE,"has_org_role(auth.uid(), organization_id, 'admin'::app_role)",
public,organization_members,Admins can manage members in their organization,PERMISSIVE,public,UPDATE,"(has_org_role(auth.uid(), organization_id, 'admin'::app_role) AND (user_id <> auth.uid()))","(has_org_role(auth.uid(), organization_id, 'admin'::app_role) AND (user_id <> auth.uid()))"
public,organization_members,Org admins can delete members,PERMISSIVE,authenticated,DELETE,"is_org_admin(auth.uid(), organization_id)",
public,organization_members,Org admins can insert members,PERMISSIVE,authenticated,INSERT,,"is_org_admin(auth.uid(), organization_id)"
public,organization_members,Org admins can update members,PERMISSIVE,public,UPDATE,"(is_org_admin(auth.uid(), organization_id) AND (user_id <> auth.uid()))","(is_org_admin(auth.uid(), organization_id) AND (user_id <> auth.uid()))"
public,organization_members,Users can view members of their organizations,PERMISSIVE,authenticated,SELECT,(organization_id IN ( SELECT get_user_organization_ids(( SELECT auth.uid() AS uid)) AS get_user_organization_ids)),
public,organization_members,platform_admins_can_delete_members,PERMISSIVE,authenticated,DELETE,"has_role(auth.uid(), 'platform_admin'::app_role)",
public,organization_members,platform_admins_can_manage_all_members,PERMISSIVE,public,ALL,"has_role(auth.uid(), 'platform_admin'::app_role)","has_role(auth.uid(), 'platform_admin'::app_role)"
public,organization_members,platform_admins_can_update_member_roles,PERMISSIVE,authenticated,UPDATE,"has_role(auth.uid(), 'platform_admin'::app_role)","has_role(auth.uid(), 'platform_admin'::app_role)"
public,organization_reset_audit,Org members can view reset audit for their organization,PERMISSIVE,authenticated,SELECT,"user_belongs_to_org(auth.uid(), organization_id)",
public,organizations,admins_can_update_organizations,PERMISSIVE,public,UPDATE,"(has_role(auth.uid(), 'platform_admin'::app_role) OR has_org_role(auth.uid(), id, 'admin'::app_role))","(has_role(auth.uid(), 'platform_admin'::app_role) OR has_org_role(auth.uid(), id, 'admin'::app_role))"
public,organizations,platform_admins_can_create_organizations,PERMISSIVE,public,INSERT,,"has_role(auth.uid(), 'platform_admin'::app_role)"
public,organizations,platform_admins_can_delete_organizations,PERMISSIVE,authenticated,DELETE,"has_role(auth.uid(), 'platform_admin'::app_role)",
public,organizations,users_can_select_their_organizations,PERMISSIVE,public,SELECT,"(has_role(auth.uid(), 'platform_admin'::app_role) OR (id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid()))))",
public,payment_gateway_settings,Admins and managers can view gateway settings,PERMISSIVE,authenticated,SELECT,"(has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role))",
public,payment_gateway_settings,Admins can manage gateway settings,PERMISSIVE,public,ALL,"has_org_role(auth.uid(), organization_id, 'admin'::app_role)","has_org_role(auth.uid(), organization_id, 'admin'::app_role)"
public,payment_links,Users can create payment links in their organizations,PERMISSIVE,public,INSERT,,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))
public,payment_links,Users can update payment links in their organizations,PERMISSIVE,public,UPDATE,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,payment_links,Users can view payment links in their organizations,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,platform_settings,Platform admins can modify platform settings,PERMISSIVE,authenticated,ALL,"has_role(auth.uid(), 'platform_admin'::app_role)","has_role(auth.uid(), 'platform_admin'::app_role)"
public,platform_settings,Platform admins can view platform settings,PERMISSIVE,authenticated,SELECT,"has_role(auth.uid(), 'platform_admin'::app_role)",
public,portal_sessions,Block all client access to portal_sessions,PERMISSIVE,"anon,authenticated",ALL,false,false
public,portal_sessions,Service role full access to portal_sessions,PERMISSIVE,service_role,ALL,true,true
public,printer_presets,Users can delete org presets,PERMISSIVE,authenticated,DELETE,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,printer_presets,Users can insert org presets,PERMISSIVE,authenticated,INSERT,,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))"
public,printer_presets,Users can update org presets,PERMISSIVE,authenticated,UPDATE,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,printer_presets,Users can view org presets,PERMISSIVE,authenticated,SELECT,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,printer_presets_backup,Org members can insert printer preset backups,PERMISSIVE,authenticated,INSERT,,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))"
public,printer_presets_backup,Org members can view printer preset backups,PERMISSIVE,authenticated,SELECT,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,product_images,Users can delete product images for their organization,PERMISSIVE,public,DELETE,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,product_images,Users can insert product images for their organization,PERMISSIVE,public,INSERT,,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))"
public,product_images,Users can update product images for their organization,PERMISSIVE,public,UPDATE,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,product_images,Users can view product images for their organization,PERMISSIVE,public,SELECT,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,product_variants,Admins and managers can manage variants,PERMISSIVE,public,ALL,"(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))","(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))"
public,product_variants,Users can view variants in their organizations,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,product_variants,org_variants_select,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,products,Admins and managers can insert products,PERMISSIVE,public,INSERT,,"(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))"
public,products,Admins and managers can update products,PERMISSIVE,public,UPDATE,"(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))",
public,products,Admins can delete products,PERMISSIVE,public,DELETE,"has_org_role(auth.uid(), organization_id, 'admin'::app_role)",
public,products,Users can view products in their organizations,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,products,org_products_select,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,promotion_history,Users can insert promotion history for their org,PERMISSIVE,authenticated,INSERT,,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))"
public,promotion_history,Users can view promotion history for their org,PERMISSIVE,authenticated,SELECT,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,purchase_bills,Admins and managers can insert purchase bills,PERMISSIVE,authenticated,INSERT,,"(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))"
public,purchase_bills,Admins and managers can view purchase bills,PERMISSIVE,public,SELECT,"(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))",
public,purchase_bills,Creator or admin can delete purchase bills,PERMISSIVE,authenticated,DELETE,"(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)) AND is_entry_creator_or_admin(organization_id, created_by))",
public,purchase_bills,Creator or admin can update purchase bills,PERMISSIVE,authenticated,UPDATE,"(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)) AND is_entry_creator_or_admin(organization_id, created_by))","(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)) AND is_entry_creator_or_admin(organization_id, created_by))"
public,purchase_items,Org members can delete purchase items,PERMISSIVE,authenticated,DELETE,"(bill_id IN ( SELECT purchase_bills.id
   FROM purchase_bills
  WHERE (purchase_bills.organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))))",
public,purchase_items,Org members can insert purchase items,PERMISSIVE,authenticated,INSERT,,"(bill_id IN ( SELECT purchase_bills.id
   FROM purchase_bills
  WHERE (purchase_bills.organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))))"
public,purchase_items,Org members can update purchase items,PERMISSIVE,authenticated,UPDATE,"(bill_id IN ( SELECT purchase_bills.id
   FROM purchase_bills
  WHERE (purchase_bills.organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))))",
public,purchase_items,Org members can view purchase items,PERMISSIVE,authenticated,SELECT,"(bill_id IN ( SELECT purchase_bills.id
   FROM purchase_bills
  WHERE (purchase_bills.organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))))",
public,purchase_order_items,Admins and managers can delete purchase order items,PERMISSIVE,authenticated,DELETE,"(order_id IN ( SELECT po.id
   FROM purchase_orders po
  WHERE ((po.organization_id IN ( SELECT om.organization_id
           FROM organization_members om
          WHERE (om.user_id = auth.uid()))) AND (has_org_role(auth.uid(), po.organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), po.organization_id, 'manager'::app_role)))))",
public,purchase_order_items,Users can create purchase order items,PERMISSIVE,public,INSERT,,"(order_id IN ( SELECT purchase_orders.id
   FROM purchase_orders
  WHERE (purchase_orders.organization_id IN ( SELECT organization_members.organization_id
           FROM organization_members
          WHERE (organization_members.user_id = auth.uid())))))"
public,purchase_order_items,Users can update purchase order items,PERMISSIVE,public,UPDATE,"(order_id IN ( SELECT purchase_orders.id
   FROM purchase_orders
  WHERE (purchase_orders.organization_id IN ( SELECT organization_members.organization_id
           FROM organization_members
          WHERE (organization_members.user_id = auth.uid())))))",
public,purchase_order_items,Users can view purchase order items,PERMISSIVE,public,SELECT,"(order_id IN ( SELECT purchase_orders.id
   FROM purchase_orders
  WHERE (purchase_orders.organization_id IN ( SELECT organization_members.organization_id
           FROM organization_members
          WHERE (organization_members.user_id = auth.uid())))))",
public,purchase_orders,Admins and managers can delete purchase orders,PERMISSIVE,authenticated,DELETE,"((organization_id IN ( SELECT om.organization_id
   FROM organization_members om
  WHERE (om.user_id = auth.uid()))) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))",
public,purchase_orders,Users can create purchase orders in their organization,PERMISSIVE,public,INSERT,,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))"
public,purchase_orders,Users can update purchase orders in their organization,PERMISSIVE,public,UPDATE,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,purchase_orders,Users can view purchase orders in their organization,PERMISSIVE,public,SELECT,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,purchase_return_items,Org members can delete purchase return items,PERMISSIVE,authenticated,DELETE,"(return_id IN ( SELECT purchase_returns.id
   FROM purchase_returns
  WHERE (purchase_returns.organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))))",
public,purchase_return_items,Org members can insert purchase return items,PERMISSIVE,authenticated,INSERT,,"(return_id IN ( SELECT purchase_returns.id
   FROM purchase_returns
  WHERE (purchase_returns.organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))))"
public,purchase_return_items,Org members can update purchase return items,PERMISSIVE,authenticated,UPDATE,"(return_id IN ( SELECT purchase_returns.id
   FROM purchase_returns
  WHERE (purchase_returns.organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))))",
public,purchase_return_items,Org members can view purchase return items,PERMISSIVE,authenticated,SELECT,"(return_id IN ( SELECT purchase_returns.id
   FROM purchase_returns
  WHERE (purchase_returns.organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))))",
public,purchase_return_items,Users can view return items in their organizations,PERMISSIVE,public,SELECT,"(return_id IN ( SELECT purchase_returns.id
   FROM purchase_returns
  WHERE (purchase_returns.organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))))",
public,purchase_returns,Admins and managers can manage returns,PERMISSIVE,public,ALL,"(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))","(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))"
public,purchase_returns,Users can view returns in their organizations,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,quotation_items,Org members can delete quotation items,PERMISSIVE,authenticated,DELETE,"(quotation_id IN ( SELECT quotations.id
   FROM quotations
  WHERE (quotations.organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))))",
public,quotation_items,Org members can insert quotation items,PERMISSIVE,authenticated,INSERT,,"(quotation_id IN ( SELECT quotations.id
   FROM quotations
  WHERE (quotations.organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))))"
public,quotation_items,Org members can update quotation items,PERMISSIVE,authenticated,UPDATE,"(quotation_id IN ( SELECT quotations.id
   FROM quotations
  WHERE (quotations.organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))))",
public,quotation_items,Org members can view quotation items,PERMISSIVE,authenticated,SELECT,"(quotation_id IN ( SELECT quotations.id
   FROM quotations
  WHERE (quotations.organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))))",
public,quotations,Admins and managers can update quotations,PERMISSIVE,public,UPDATE,"(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))",
public,quotations,Admins can delete quotations,PERMISSIVE,public,DELETE,"has_org_role(auth.uid(), organization_id, 'admin'::app_role)",
public,quotations,Users can create quotations in their organizations,PERMISSIVE,public,INSERT,,"user_belongs_to_org(auth.uid(), organization_id)"
public,quotations,Users can view quotations in their organizations,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,sale_financer_details,Org members can delete financer details,PERMISSIVE,public,DELETE,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,sale_financer_details,Org members can insert financer details,PERMISSIVE,public,INSERT,,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))
public,sale_financer_details,Org members can update financer details,PERMISSIVE,public,UPDATE,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))
public,sale_financer_details,Org members can view financer details,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,sale_items,Org members can insert sale items,PERMISSIVE,authenticated,INSERT,,"(sale_id IN ( SELECT sales.id
   FROM sales
  WHERE (sales.organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))))"
public,sale_items,Org members can update sale items,PERMISSIVE,authenticated,UPDATE,"(sale_id IN ( SELECT sales.id
   FROM sales
  WHERE (sales.organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))))",
public,sale_items,Org members can view sale items,PERMISSIVE,authenticated,SELECT,"(sale_id IN ( SELECT sales.id
   FROM sales
  WHERE (sales.organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))))",
public,sale_items,Organization members can delete sale items,PERMISSIVE,public,DELETE,"(EXISTS ( SELECT 1
   FROM (sales s
     JOIN organization_members om ON ((om.organization_id = s.organization_id)))
  WHERE ((s.id = sale_items.sale_id) AND (om.user_id = auth.uid()))))",
public,sale_items,org_sale_items_select,PERMISSIVE,public,SELECT,"(sale_id IN ( SELECT sales.id
   FROM sales
  WHERE (sales.organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))))",
public,sale_number_sequence,org_sale_number_sequence_all,PERMISSIVE,authenticated,ALL,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))
public,sale_order_items,Org members can delete sale order items,PERMISSIVE,authenticated,DELETE,"(order_id IN ( SELECT sale_orders.id
   FROM sale_orders
  WHERE (sale_orders.organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))))",
public,sale_order_items,Org members can insert sale order items,PERMISSIVE,authenticated,INSERT,,"(order_id IN ( SELECT sale_orders.id
   FROM sale_orders
  WHERE (sale_orders.organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))))"
public,sale_order_items,Org members can update sale order items,PERMISSIVE,authenticated,UPDATE,"(order_id IN ( SELECT sale_orders.id
   FROM sale_orders
  WHERE (sale_orders.organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))))",
public,sale_order_items,Org members can view sale order items,PERMISSIVE,authenticated,SELECT,"(order_id IN ( SELECT sale_orders.id
   FROM sale_orders
  WHERE (sale_orders.organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))))",
public,sale_orders,Admins and managers can update sale orders,PERMISSIVE,public,UPDATE,"(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))",
public,sale_orders,Admins can delete sale orders,PERMISSIVE,public,DELETE,"has_org_role(auth.uid(), organization_id, 'admin'::app_role)",
public,sale_orders,Users can create sale orders in their organizations,PERMISSIVE,public,INSERT,,"user_belongs_to_org(auth.uid(), organization_id)"
public,sale_orders,Users can view sale orders in their organizations,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,sale_return_invoice_allocations,Org members can delete sr allocations,PERMISSIVE,authenticated,DELETE,"user_belongs_to_org(auth.uid(), organization_id)",
public,sale_return_invoice_allocations,Org members can insert sr allocations,PERMISSIVE,authenticated,INSERT,,"user_belongs_to_org(auth.uid(), organization_id)"
public,sale_return_invoice_allocations,Org members can update sr allocations,PERMISSIVE,authenticated,UPDATE,"user_belongs_to_org(auth.uid(), organization_id)","user_belongs_to_org(auth.uid(), organization_id)"
public,sale_return_invoice_allocations,Org members can view sr allocations,PERMISSIVE,authenticated,SELECT,"user_belongs_to_org(auth.uid(), organization_id)",
public,sale_return_items,Admins and managers can manage return items,PERMISSIVE,public,ALL,"(return_id IN ( SELECT sr.id
   FROM sale_returns sr
  WHERE (user_belongs_to_org(auth.uid(), sr.organization_id) AND (has_org_role(auth.uid(), sr.organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), sr.organization_id, 'manager'::app_role)))))","(return_id IN ( SELECT sr.id
   FROM sale_returns sr
  WHERE (user_belongs_to_org(auth.uid(), sr.organization_id) AND (has_org_role(auth.uid(), sr.organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), sr.organization_id, 'manager'::app_role)))))"
public,sale_return_items,Users can view return items in their organizations,PERMISSIVE,public,SELECT,"(return_id IN ( SELECT sale_returns.id
   FROM sale_returns
  WHERE (sale_returns.organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids))))",
public,sale_returns,Admins and managers can insert returns,PERMISSIVE,public,INSERT,,"(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))"
public,sale_returns,Admins and managers can update returns,PERMISSIVE,public,UPDATE,"(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))",
public,sale_returns,Admins can delete returns,PERMISSIVE,public,DELETE,"has_org_role(auth.uid(), organization_id, 'admin'::app_role)",
public,sale_returns,Users can view returns in their organizations,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,sales,Creator or admin can delete sales,PERMISSIVE,authenticated,DELETE,"(user_belongs_to_org(auth.uid(), organization_id) AND is_entry_creator_or_admin(organization_id, created_by))",
public,sales,Creator or admin can update sales,PERMISSIVE,authenticated,UPDATE,"(user_belongs_to_org(auth.uid(), organization_id) AND is_entry_creator_or_admin(organization_id, created_by))","(user_belongs_to_org(auth.uid(), organization_id) AND is_entry_creator_or_admin(organization_id, created_by))"
public,sales,Users can create sales in their organizations,PERMISSIVE,public,INSERT,,"user_belongs_to_org(auth.uid(), organization_id)"
public,sales,Users can view sales in their organizations,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,salesman_commissions,org_salesman_commissions,PERMISSIVE,public,ALL,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,school_classes,org_members_school_classes_delete,PERMISSIVE,authenticated,DELETE,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,school_classes,org_members_school_classes_insert,PERMISSIVE,authenticated,INSERT,,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))"
public,school_classes,org_members_school_classes_select,PERMISSIVE,authenticated,SELECT,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,school_classes,org_members_school_classes_update,PERMISSIVE,authenticated,UPDATE,"(organization_id IN ( SELECT organization_members.organization_id
   FROM organization_members
  WHERE (organization_members.user_id = auth.uid())))",
public,settings,Admins can manage settings,PERMISSIVE,public,ALL,"has_org_role(auth.uid(), organization_id, 'admin'::app_role)","has_org_role(auth.uid(), organization_id, 'admin'::app_role)"
public,settings,Users can view settings in their organizations,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,settings,platform_admins_can_view_all_settings,PERMISSIVE,public,SELECT,"(has_role(auth.uid(), 'platform_admin'::app_role) OR (organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)))",
public,settlement_drift_log,Org members read own drift,PERMISSIVE,authenticated,SELECT,"((EXISTS ( SELECT 1
   FROM organization_members om
  WHERE ((om.organization_id = settlement_drift_log.organization_id) AND (om.user_id = auth.uid())))) OR has_role(auth.uid(), 'platform_admin'::app_role))",
public,settlement_drift_log,Platform admin resolves drift,PERMISSIVE,authenticated,UPDATE,"has_role(auth.uid(), 'platform_admin'::app_role)","has_role(auth.uid(), 'platform_admin'::app_role)"
public,size_groups,Admins and managers can manage size groups,PERMISSIVE,public,ALL,"(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))","(user_belongs_to_org(auth.uid(), organization_id) AND (has_org_role(auth.uid(), organization_id, 'admin'::app_role) OR has_org_role(auth.uid(), organization_id, 'manager'::app_role)))"
public,size_groups,Users can view size groups in their organizations,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,sms_logs,Users can create SMS logs in their organizations,PERMISSIVE,public,INSERT,,"user_belongs_to_org(auth.uid(), organization_id)"
public,sms_logs,Users can view SMS logs in their organizations,PERMISSIVE,public,SELECT,(organization_id IN ( SELECT get_user_organization_ids(auth.uid()) AS get_user_organization_ids)),
public,sms_settings,Admins can manage SMS settings,PERMISSIVE,public,ALL,"has_org_role(auth.uid(), organization_id, 'admin'::app_role)","has_org_role(auth.uid(), organization_id, 'admin'::app_role)"
