a;b;c;customer_id;d;e;f;g;h;i;j;sale_number;section;shape;status;voucher_number
5000;	-5000;20000;3063c897-8909-40c9-808c-cdbb94344f40;0;10000;;;2026-03-07 14:58  vdate 2026-03-07 sale 2026-03-07;70435a88-7998-4cf1-835d-34d51a0bb611;Payment received for invoice INV/25-26/799;INV/25-26/799;receipt;DUP_DOUBLE_SUBMIT;DELETE;RCP/25-26/912
1300;3200;3200;3442fa9c-0d6b-47f5-b631-4c30dc3faf46;0;1300;;;2026-02-28 20:13  vdate 2026-02-28 sale 2026-02-28;04a975ed-d962-4656-b992-580f6a158ac0;Payment received for invoice INV/25-26/443;INV/25-26/443;receipt;KEEP;KEEP;RCP/25-26/555
3200;1900;3200;3442fa9c-0d6b-47f5-b631-4c30dc3faf46;0;1300;;;2026-07-01 15:25 balance_adjustment vdate 2026-07-01 sale 2026-02-28;70488ebc-02a3-4578-a89d-125c4004b96d;phantom_cn_repair_2026 | Cr balance applied to INV/25-26/443 | Sadiqa Faisal Kha;INV/25-26/443;receipt;BALANCE_ADJUSTMENT;HOLD_BALANCE_ADJUSTMENT;RCP/26-27/2414
4500;0;4500;3c2e5760-cc73-4b81-87f8-567fcd178448;4500;4500;;;2026-05-06 21:33 cash vdate 2026-05-06 sale 2026-05-02;00d54bbb-7871-4184-8496-e897be96e0b7;Payment received for POS sale POS/26-27/513 - ;POS/26-27/513;receipt;DUP_TENDER_REKEYED;DELETE;RCP/26-27/27#d00d54bbb
2000;	-300;1200;4046e7f4-ad50-43f8-9199-603520253a00;1500;2300;;;2026-02-27 13:20  vdate 2026-02-27 sale 2026-02-24;a9555b90-ae99-41fd-abb9-bf2989890dd3;Payment received for POS sale POS/25-26/818 - ;POS/25-26/818;receipt;NON_ECHO_REDUNDANT;HOLD_NON_ECHO_REDUNDANT;RCP/25-26/529
5310;	-0.4;10309.6;52295574-5fc4-4f03-93a7-f9dd9b3932b8;10310;5310.4;;;2026-07-26 19:07 upi vdate 2026-07-26 sale 2026-05-22;57c2ba0c-f6a8-4602-905b-bc7bca0585d0;Payment received for POS sale POS/26-27/1050 - ;POS/26-27/1050;receipt;NON_ECHO_REDUNDANT;HOLD_NON_ECHO_REDUNDANT;RCP/26-27/3200
250;250;250;526460c5-f9ef-4bb7-82f5-5ca90461aeb1;0;250;;;2026-06-16 20:37 cash vdate 2026-06-16 sale 2026-06-16;2536816b-7e8b-41de-b1e9-0f5f7c58d462;Payment received for invoice INV/26-27/1621;INV/26-27/1621;receipt;KEEP;KEEP;RCP/26-27/1836
250;0;250;526460c5-f9ef-4bb7-82f5-5ca90461aeb1;0;250;;;2026-06-16 20:38 cash vdate 2026-06-16 sale 2026-06-16;66e65c3a-2057-4eec-95f5-9360275e0452;Payment received for invoice INV/26-27/1621;INV/26-27/1621;receipt;DUP_DOUBLE_SUBMIT;DELETE;RCP/26-27/1838
3702;15563;15563;5b80d18e-07f5-4833-8032-136a120eb433;0;639;;;2026-07-14 13:31 upi vdate 2026-07-14 sale 2026-01-27;50a95751-c851-4ee6-ad09-4ad449e4aa8c;Payment for INV/25-26/255 | Transaction ID: 729654, UPI Date: 07/07/2026;INV/25-26/255;receipt;KEEP;KEEP;RCP/26-27/2817-2
1000;11861;15563;5b80d18e-07f5-4833-8032-136a120eb433;0;639;;;2026-07-14 13:58 upi vdate 2026-07-14 sale 2026-01-27;5491d313-d16e-4b5f-8c7a-1b644dcc1907;Payment for INV/25-26/255 | Transaction ID: 285022, UPI Date: 10/07/2026;INV/25-26/255;receipt;KEEP;KEEP;RCP/26-27/2840
2500;10861;15563;5b80d18e-07f5-4833-8032-136a120eb433;0;639;;;2026-07-21 20:17 upi vdate 2026-07-21 sale 2026-01-27;3ab5011e-c385-44f5-a133-0bd632e8225e;Payment for INV/25-26/255 | Transaction ID: 93183, UPI Date: 19/07/2026;INV/25-26/255;receipt;KEEP;KEEP;RCP/26-27/3024
2000;8361;15563;5b80d18e-07f5-4833-8032-136a120eb433;0;639;;;2026-07-28 16:45 cash vdate 2026-07-28 sale 2026-01-27;72844b25-fe8d-48a8-ba45-c481a09b81f7;Payment for INV/25-26/255;INV/25-26/255;receipt;KEEP;KEEP;RCP/26-27/3224
2000;6361;15563;5b80d18e-07f5-4833-8032-136a120eb433;0;639;;;2026-08-12 15:25 cash vdate 2026-08-03 sale 2026-01-27;5690aff0-aeca-4b77-951f-12e01e116450;Payment for INV/25-26/255;INV/25-26/255;receipt;KEEP;KEEP;RCP/26-27/3756
5000;4361;15563;5b80d18e-07f5-4833-8032-136a120eb433;0;639;;;2026-09-09 21:08 cash vdate 2026-08-31 sale 2026-01-27;04dbe6d1-8900-4fbf-92c4-ce2c9d9a9727;Payment for INV/25-26/255;INV/25-26/255;receipt;PARTIAL;HOLD_PARTIAL;RCP/26-27/4649
150;0.0004999999999;1150.0004999999999;70a1d1cc-b534-49e2-8461-989b26fe1935;1150;149.9995000000001;;;2026-07-19 17:03 upi vdate 2026-07-19 sale 2026-07-15;63a797e7-31c9-4880-bc65-ff1c382d9595;Payment received for POS sale POS/26-27/1312 - ;POS/26-27/1312;receipt;NON_ECHO_REDUNDANT;HOLD_NON_ECHO_REDUNDANT;RCP/26-27/2983
1200;0;1700;70a1d1cc-b534-49e2-8461-989b26fe1935;1700;1200;;;2026-07-24 13:04 cash vdate 2026-07-24 sale 2026-07-21;b8cbc539-2c89-4c6d-8468-f86e65d2ffb5;Payment received for POS sale POS/26-27/1353 - ;POS/26-27/1353;receipt;NON_ECHO_REDUNDANT;HOLD_NON_ECHO_REDUNDANT;RCP/26-27/3116
5570;5570;5570;71b043b8-957c-472d-98ce-203fc4e35877;0;5570;;;2026-05-27 15:28 upi vdate 2026-05-27 sale 2026-05-27;f491f4ca-14fd-4f71-8057-e150bcefb4b0;Payment received for POS sale POS/26-27/1116 - ;POS/26-27/1116;receipt;KEEP;KEEP;RCP/26-27/1104
5570;0;5570;71b043b8-957c-472d-98ce-203fc4e35877;0;5570;;;2026-05-30 17:06 upi vdate 2026-05-30 sale 2026-05-27;02284321-f364-470e-922e-76f516de515d;Payment received for POS sale POS/26-27/1116 - ;POS/26-27/1116;receipt;DUP_DOUBLE_SUBMIT;DELETE;RCP/26-27/1133
570;0;570;71b043b8-957c-472d-98ce-203fc4e35877;0;570;;;2026-05-30 17:09 cash vdate 2026-05-30 sale 2026-04-14;bda7d2cc-f371-489b-92f2-6475a42f268d;Payment received for POS sale POS/26-27/292 - ;POS/26-27/292;receipt;DUP_DOUBLE_SUBMIT;DELETE;RCP/26-27/1141
570;570;570;71b043b8-957c-472d-98ce-203fc4e35877;0;570;;;2026-04-28 22:29  vdate 2026-04-28 sale 2026-04-14;a922b887-7770-42bf-a9a6-411995ba592f;Payment received for POS sale POS/26-27/292 - ;POS/26-27/292;receipt;KEEP;KEEP;RCP/26-27/8#da922b887
3300;0;3300;721fd1c2-29dc-486f-b543-68bfb4870ec2;0;3300;;;2026-05-30 17:10 cash vdate 2026-05-30 sale 2026-04-28;175e6639-af1c-4012-a37c-f05637f519b6;Payment received for POS sale POS/26-27/558 - ;POS/26-27/558;receipt;DUP_DOUBLE_SUBMIT;DELETE;RCP/26-27/1143
3300;3300;3300;721fd1c2-29dc-486f-b543-68bfb4870ec2;0;3300;;;2026-04-29 16:58  vdate 2026-04-29 sale 2026-04-28;fab7999b-71e3-4430-802a-59ba47850f0e;Payment received for POS sale POS/26-27/558 - ;POS/26-27/558;receipt;KEEP;KEEP;RCP/26-27/9#dfab7999b
3200;9200;9200;7383a57f-3e10-4fca-b67c-14b2fb151ec8;0;3200;;;2026-04-05 17:55  vdate 2026-02-19 sale 2026-03-05;8a5e241f-de07-4ded-b2bd-90ad0b60da71;Payment received for invoice INV/25-26/733;INV/25-26/733;receipt;KEEP;KEEP;RCP/25-26/1865
9200;6000;9200;7383a57f-3e10-4fca-b67c-14b2fb151ec8;0;3200;;;2026-07-01 15:25 balance_adjustment vdate 2026-07-01 sale 2026-03-05;da6ae2be-f3f8-42b2-a0ed-5032390f00f3;phantom_cn_repair_2026 | Cr balance applied to INV/25-26/733 | Amrin;INV/25-26/733;receipt;BALANCE_ADJUSTMENT;HOLD_BALANCE_ADJUSTMENT;RCP/26-27/2415
4200;0;8200;75d1295d-eaf0-4dd4-b884-f62c94e1ad18;8200;4200;;;2026-07-20 17:02 upi vdate 2026-07-20 sale 2026-02-07;e9ab5bff-d285-4c80-a664-fd896c2a08e5;Payment received for POS sale POS/25-26/678 - ;POS/25-26/678;receipt;NON_ECHO_REDUNDANT;HOLD_NON_ECHO_REDUNDANT;RCP/26-27/2996
1278;0;1775;7f1ca914-dd1f-4c93-8902-934513b0c1cf;1775;1278;;;2026-04-03 19:48 cash vdate 2026-04-03 sale 2026-03-30;b7c5c80d-67dc-4aa5-80a9-64eae39bc96d;Payment for POS/25-26/953;POS/25-26/953;receipt;NON_ECHO_REDUNDANT;HOLD_NON_ECHO_REDUNDANT;RCP/26-27/16-12
1205;0;1205;7fb7d5d7-755b-410b-9158-444ab8f69de6;1205;1205;;;2026-07-18 19:50 cash vdate 2026-07-18 sale 2026-05-24;d5f37066-43ee-4d84-bc74-e8051b2e072b;Payment received for POS sale POS/26-27/1047 - ;POS/26-27/1047;receipt;DUP_TENDER_REKEYED;DELETE;RCP/26-27/2965
550;3950;3950;83937541-7e14-4dbc-8d79-0a4dff814e4d;0;550;;;2026-04-08 16:30  vdate 2026-03-18 sale 2026-03-18;06f613d3-282e-4e15-986e-140b21a911ed;Payment received for invoice INV/25-26/1413;INV/25-26/1413;receipt;KEEP;KEEP;RCP/25-26/1869
3950;3400;3950;83937541-7e14-4dbc-8d79-0a4dff814e4d;0;550;;;2026-07-01 15:25 balance_adjustment vdate 2026-07-01 sale 2026-03-18;67f04158-899a-4c17-8841-11d5bd016b89;phantom_cn_repair_2026 | Cr balance applied to INV/25-26/1413 | Naeem Mukadam;INV/25-26/1413;receipt;BALANCE_ADJUSTMENT;HOLD_BALANCE_ADJUSTMENT;RCP/26-27/2413
13700;	-0.1;13699.9;8538501f-2f0b-4f69-8974-d96aaf06b682;0;13700.1;;;2026-05-30 17:04 card vdate 2026-05-30 sale 2026-05-10;528c1293-6fad-454c-99ed-cf5a718552df;Payment received for POS sale POS/26-27/808 - ;POS/26-27/808;receipt;DUP_DOUBLE_SUBMIT;DELETE;RCP/26-27/1131
13700;13699.9;13699.9;8538501f-2f0b-4f69-8974-d96aaf06b682;0;13700.1;;;2026-05-13 12:05 card vdate 2026-05-13 sale 2026-05-10;a15b3b8d-7b39-4dfc-bb39-3a95b261ac95;Payment received for POS sale POS/26-27/808 - ;POS/26-27/808;receipt;KEEP;KEEP;RCP/26-27/20#da15b3b8d
8000;7200;7200;87534d47-323f-4057-ae72-6ad52095b68b;0;1400;;;2026-01-14 19:46 cash vdate 2026-01-14 sale 2026-01-14;68912fb7-b1b7-4842-8d13-d3678d7e1bc8;Payment received for POS sale POS/25-26/405 - ;POS/25-26/405;receipt;PARTIAL;HOLD_PARTIAL;RCP/25-26/53
600;	-800;7200;87534d47-323f-4057-ae72-6ad52095b68b;0;1400;;;2026-08-01 16:54 cash vdate 2026-08-01 sale 2026-01-14;a9fa697a-288a-48d8-8f2b-04a55ceb89cd;Payment for POS/25-26/405;POS/25-26/405;receipt;NON_ECHO_REDUNDANT;HOLD_NON_ECHO_REDUNDANT;RCP/26-27/3319
2495;0.0;2249.5;9004106f-be58-4a3a-8df2-01f08ea8c569;2249.5;2495.0;;;2026-07-05 13:30 cash vdate 2026-07-05 sale 2026-06-06;39ac7623-19f7-4fe6-87bd-5aa0f7ff534f;Payment for POS/26-27/1322 | Discount: ₹245.00 (trade);POS/26-27/1322;receipt;NON_ECHO_REDUNDANT;HOLD_NON_ECHO_REDUNDANT;RCP/26-27/2510
3150;3150;3150;933ba20a-da65-4216-93fe-df46fbd24d06;0;3150;;;2026-07-14 17:17 upi vdate 2026-07-13 sale 2026-05-27;92ec38f1-17e9-48e3-8c66-7b5f61f4aa06;Payment received for invoice INV/26-27/1117 | Received in: SHEZA AMANI A/C;INV/26-27/1117;receipt;KEEP;KEEP;RCP/26-27/2858
3150;0;3150;933ba20a-da65-4216-93fe-df46fbd24d06;0;3150;;;2026-07-14 17:17 upi vdate 2026-07-13 sale 2026-05-27;ce4a35e7-e621-4565-9cf5-ec512aa5c361;Payment received for invoice INV/26-27/1117 | Received in: SHEZA AMANI A/C;INV/26-27/1117;receipt;DUP_DOUBLE_SUBMIT;DELETE;RCP/26-27/2859
4500;2700;4500;93b947b9-fb2f-435d-bc14-d11ba93895a4;0;1800;;;2026-07-01 15:25 balance_adjustment vdate 2026-07-01 sale 2026-05-01;7026d1f4-e27a-4f4a-8e8f-40ead1955245;phantom_cn_repair_2026 | Cr balance applied to INV/26-27/469 | SAMEENA MADHIYA;INV/26-27/469;receipt;BALANCE_ADJUSTMENT;HOLD_BALANCE_ADJUSTMENT;RCP/26-27/2426
1800;4500;4500;93b947b9-fb2f-435d-bc14-d11ba93895a4;0;1800;;;2026-05-04 18:16 upi vdate 2026-05-01 sale 2026-05-01;fb6cf90d-3239-453d-a715-b1943ca66ff8;Payment received for invoice INV/26-27/469;INV/26-27/469;receipt;KEEP;KEEP;RCP/26-27/558
4289;0;2705;98529989-4d61-4fd6-b685-4832fd2583ca;2705;4289;;;2026-08-26 21:37 cash vdate 2026-08-26 sale 2026-08-15;9b577c1e-347d-4962-a54f-f400230dfbcb;Payment received for POS sale POS/26-27/2358;POS/26-27/2358;receipt;NON_ECHO_REDUNDANT;HOLD_NON_ECHO_REDUNDANT;RCP/26-27/4254
8600;4400;8600;9917dc4d-7257-43bf-abf5-7492bc79b29b;0;4200;;;2026-07-01 15:25 balance_adjustment vdate 2026-07-01 sale 2026-04-26;689bca44-ad6e-44ba-a717-82b846b8fba5;phantom_cn_repair_2026 | Cr balance applied to INV/26-27/341 | OSAMA;INV/26-27/341;receipt;BALANCE_ADJUSTMENT;HOLD_BALANCE_ADJUSTMENT;RCP/26-27/2424
4200;8600;8600;9917dc4d-7257-43bf-abf5-7492bc79b29b;0;4200;;;2026-04-27 13:16 cash vdate 2026-04-27 sale 2026-04-26;a05ea71f-5735-4329-bc37-a9244023e433;Payment received for invoice INV/26-27/341;INV/26-27/341;receipt;KEEP;KEEP;RCP/26-27/413
1595;0;1595;a3815bf9-b431-4d95-934a-9857c6be4fe5;1595;1595;;;2026-05-16 16:57 cash vdate 2026-05-16 sale 2026-05-12;d2c696bc-3bda-4dd6-8b66-f6c91007489f;Payment received for POS sale POS/26-27/851 - ;POS/26-27/851;receipt;DUP_TENDER_REKEYED;DELETE;RCP/26-27/22#dd2c696bc
763;0;763;a52e9c66-0f1c-4aa2-b0d8-7d84c0987831;763;763;;;2026-07-25 21:31 cash vdate 2026-07-25 sale 2026-07-11;4a40ae23-c8c3-466f-aa35-3cfc5d4ebe7c;Payment received for POS sale POS/26-27/2250 - ;POS/26-27/2250;receipt;DUP_TENDER_REKEYED;DELETE;RCP/26-27/3186
2299;2299;2299;ae7d0c17-8d95-459e-8bc1-62135c39a0ae;0;2299;;;2026-05-01 12:30  vdate 2026-05-01 sale 2026-04-30;2ad9f600-5bc7-4ec5-8d86-d2cd592abc92;Payment received for POS sale POS/26-27/610 - ;POS/26-27/610;receipt;KEEP;KEEP;RCP/26-27/10#d2ad9f600
2299;0;2299;ae7d0c17-8d95-459e-8bc1-62135c39a0ae;0;2299;;;2026-05-30 17:07 cash vdate 2026-05-30 sale 2026-04-30;b6a73a78-daf1-4b95-86e6-828912fe2505;Payment received for POS sale POS/26-27/610 - ;POS/26-27/610;receipt;DUP_DOUBLE_SUBMIT;DELETE;RCP/26-27/1135
200;	-600;400;b7421872-14e6-493a-a01d-f65e8090a1f6;1000;800;;;2026-09-15 13:36 cash vdate 2026-09-15 sale 2026-09-13;447f38da-7e70-47a1-b17f-a4bc4322cc87;Payment for POS/26-27/1851;POS/26-27/1851;receipt;NON_ECHO_REDUNDANT;HOLD_NON_ECHO_REDUNDANT;RCP/26-27/4734
1977.00;1977;1977;c25acad2-2253-4cd0-98d4-dd2728d4d3b5;0;1977.00;;;2026-05-12 01:54 cash vdate 2026-04-19 sale 2026-04-19;fb38afb2-9606-4c41-8f06-07ebae7e9abc;Phase 4 backfill: legacy POS receipt for POS/26-27/378;POS/26-27/378;receipt;KEEP;KEEP;BCK/dcf49184/13df2d
1977;0.00;1977;c25acad2-2253-4cd0-98d4-dd2728d4d3b5;0;1977.00;;;2026-05-30 17:10 cash vdate 2026-05-30 sale 2026-04-19;e8563be4-fb32-45a4-844f-630f2e0506a9;Payment received for POS sale POS/26-27/378 - ;POS/26-27/378;receipt;DUP_DOUBLE_SUBMIT;DELETE;RCP/26-27/1142
250;0;2250;cbf33d65-e373-4be0-9f96-c3160f01a0f5;2250;250;;;2026-08-12 20:05 cash vdate 2026-08-12 sale 2026-08-09;f37d8eee-912e-4a32-a82c-b2fa2cf6d036;Payment received for POS sale POS/26-27/1445 - ;POS/26-27/1445;receipt;NON_ECHO_REDUNDANT;HOLD_NON_ECHO_REDUNDANT;RCP/26-27/3775
882;12252;12252;daf3a60f-ef50-4d9a-822a-621d613a99a9;0;3000;;;2026-06-17 21:08 cash vdate 2026-06-09 sale 2026-03-20;62d70095-1b0e-4f3e-b322-22f14584dccf;Payment for INV/25-26/779;INV/25-26/779;receipt;KEEP;KEEP;RCP/26-27/1870-2
5000;11370;12252;daf3a60f-ef50-4d9a-822a-621d613a99a9;0;3000;;;2026-08-04 20:17 cash vdate 2026-07-28 sale 2026-03-20;c9a227ff-f6f7-40f1-ad68-f2c0401b5ad4;Payment for INV/25-26/779;INV/25-26/779;receipt;KEEP;KEEP;RCP/26-27/3458
3000;6370;12252;daf3a60f-ef50-4d9a-822a-621d613a99a9;0;3000;;;2026-08-12 15:31 cash vdate 2026-08-09 sale 2026-03-20;afbeb352-de3f-4fa0-b537-1882eb12096b;Payment for INV/25-26/779;INV/25-26/779;receipt;KEEP;KEEP;RCP/26-27/3758
3000;3370;12252;daf3a60f-ef50-4d9a-822a-621d613a99a9;0;3000;;;2026-08-18 13:25 cash vdate 2026-08-10 sale 2026-03-20;2ea2d197-3592-4b78-ad35-d430196c63f9;Payment for INV/25-26/779;INV/25-26/779;receipt;KEEP;KEEP;RCP/26-27/3938
3370;370;12252;daf3a60f-ef50-4d9a-822a-621d613a99a9;0;3000;;;2026-09-03 18:17 cash vdate 2026-08-20 sale 2026-03-20;6fd5f673-9cca-44a4-9177-ba4a0ad501fd;Payment for INV/25-26/779;INV/25-26/779;receipt;PARTIAL;HOLD_PARTIAL;RCP/26-27/4477-1
6290;0;6290;dde74df8-fe5d-48c8-a010-d33f290b98bc;6290;6290;;;2026-07-31 13:05 cash vdate 2026-07-31 sale 2026-06-16;7d3c1396-dec4-4566-a928-607bd2366089;Payment received for POS sale POS/26-27/1488 - ;POS/26-27/1488;receipt;DUP_TENDER_REKEYED;DELETE;RCP/26-27/3263
2547;0;2547;dde74df8-fe5d-48c8-a010-d33f290b98bc;2547;2547;;;2026-07-31 13:06 cash vdate 2026-07-31 sale 2026-06-22;cf2dcf25-9d41-4e88-a563-68f8096cdc8b;Payment received for POS sale POS/26-27/1594 - ;POS/26-27/1594;receipt;DUP_TENDER_REKEYED;DELETE;RCP/26-27/3264
849;0;849;dde74df8-fe5d-48c8-a010-d33f290b98bc;849;849;;;2026-07-31 13:06 cash vdate 2026-07-31 sale 2026-07-01;2f56202a-0f97-4752-a244-798fe665ffd5;Payment received for POS sale POS/26-27/1714 - ;POS/26-27/1714;receipt;DUP_TENDER_REKEYED;DELETE;RCP/26-27/3265
2770;2770;2770;dde74df8-fe5d-48c8-a010-d33f290b98bc;0;2770;;;2026-05-28 17:49 cash vdate 2026-05-28 sale 2026-05-12;745f3a10-ae69-4e8e-9dc2-2d7941ec0e52;Payment received for POS sale POS/26-27/853 - ;POS/26-27/853;receipt;KEEP;KEEP;RCP/26-27/1124
2770;0;2770;dde74df8-fe5d-48c8-a010-d33f290b98bc;0;2770;;;2026-05-30 17:05 cash vdate 2026-05-30 sale 2026-05-12;654c5eb3-5411-4c9b-a670-7f866eefe428;Payment received for POS sale POS/26-27/853 - ;POS/26-27/853;receipt;DUP_DOUBLE_SUBMIT;DELETE;RCP/26-27/1132
1000;1000;5000;e90adfd4-0958-420f-b877-0aea636a7d4f;4000;4000;;;2026-04-13 20:05  vdate 2026-04-13 sale 2026-04-13;e671e936-96d2-4078-87cf-b151b551b30d;Payment received for POS sale POS/26-27/270 - ;POS/26-27/270;receipt;SAME_DAY_DUAL_WRITE;KEEP;RCP/26-27/3#de671e936
4000;0;5000;e90adfd4-0958-420f-b877-0aea636a7d4f;4000;4000;;;2026-04-14 17:13  vdate 2026-04-14 sale 2026-04-13;5eeb20ff-2357-4eaa-a814-f24b7c65d8cd;Payment received for POS sale POS/26-27/270 - ;POS/26-27/270;receipt;DUP_TENDER_REKEYED;DELETE;RCP/26-27/4#d5eeb20ff
8400;0;10400;eed049ad-25b0-4380-92d4-316219cd8282;10400;8400;;;2026-07-21 21:41 card vdate 2026-07-21 sale 2026-07-18;c7335106-017a-43e6-9a97-6f027c2adf6b;Payment received for POS sale POS/26-27/1947 - ;POS/26-27/1947;receipt;NON_ECHO_REDUNDANT;HOLD_NON_ECHO_REDUNDANT;RCP/26-27/3032
1890;5656.7;5656.7;fc05b0af-62b9-4519-b8c0-d90ff74d2307;0;363.3;;;2026-07-08 12:48 cash vdate 2026-07-03 sale 2026-04-15;7c0ef567-75da-4409-bb02-9bb23bb4d704;Payment for INV/26-27/187;INV/26-27/187;receipt;KEEP;KEEP;RCP/26-27/2640-2
4130;3766.7;5656.7;fc05b0af-62b9-4519-b8c0-d90ff74d2307;0;363.3;;;2026-07-08 12:56 upi vdate 2026-07-08 sale 2026-04-15;1a91fa64-b012-47a4-bd26-7e735a6d891e;Payment for INV/26-27/187 | Transaction ID: 655028143558, UPI Date: 03/07/2026;INV/26-27/187;receipt;PARTIAL;HOLD_PARTIAL;RCP/26-27/2641-1
24850;24850;24850;fd857b39-a7bd-4bef-9639-a5524c7d4cbf;0;24850;;;2026-03-07 22:13  vdate 2026-03-07 sale 2026-03-07;5c37ba4f-da41-4fd1-abd0-a8dda11ac241;Payment received for invoice INV/25-26/821;INV/25-26/821;receipt;KEEP;KEEP;RCP/25-26/936
24850;0;24850;fd857b39-a7bd-4bef-9639-a5524c7d4cbf;0;24850;;;2026-03-07 22:28  vdate 2026-03-07 sale 2026-03-07;9a59ec53-932b-4fc9-8ffe-9894ae5dc6dd;Payment received for invoice INV/25-26/821;INV/25-26/821;receipt;DUP_DOUBLE_SUBMIT;DELETE;RCP/25-26/937
2800;	-0.00009999;3299.99990001;ffe63ae6-51bf-43bf-8bd5-7a17c7f7075c;3300;2800.00009999;;;2026-08-14 19:37 card vdate 2026-08-14 sale 2026-08-03;8fc62f02-6c1d-456c-8f99-fdefa917492b;Payment received for POS sale POS/26-27/1411 - ;POS/26-27/1411;receipt;NON_ECHO_REDUNDANT;HOLD_NON_ECHO_REDUNDANT;RCP/26-27/3832
